Region,Region2,Country,Policy Level,Province,Policy Type,Key policy measures and targets,Category,Year
North America,Rest of the World,Canada,National,,Legislation,"Grant towards the purchase or lease of a new BEV, FCEV, or PHEV, lower value for PHEVs with less
than 50km range (iZEV programme).",LDV,2019
North America,Rest of the World,Canada,National,,Legislation,"Grants towards the purchase or lease of BEV, FCEV, or PHEV trucks (iMHZEV programme).",M/HDV,2022
North America,Rest of the World,Canada,National,,Legislation,"Support public and school bus operators plan for electrification, funding 5 000 zero emission bus
purchases and supporting infrastructure (Zero Emission Transit Fund).",Bus,2021
North America,Rest of the World,Canada,National,,Legislation,Accelerated Capital Cost Allowance (CCA) for ZEVs.,Taxation,2019
North America,Rest of the World,Canada,Multi-national,,Ambition,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035. Canada also specifically aims for 75% of all government LDV purchases to be ZEVs or hybrid, with the
objective that the LDV fleet is 100% ZEV by 2030.",LDV,2022
North America,Rest of the World,Canada,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Central and South America,Rest of the World,Chile,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2021
Central and South America,Rest of the World,Chile,National,,Target,"100% of sales of LDVs will be zero-emissions by 2035, with an accompanying ban on ICE sales.",LDV,2021
Central and South America,Rest of the World,Chile,National,,Target,"100% of sales of heavy mobile machinery will be zero-emissions by 2035, 100% of sales of all mobile machinery (heavy and light) by 2040.",M/HDV,2021
Central and South America,Rest of the World,Chile,National,,Legislation,"Accelerated tax depreciation of electric, hybrid, and zero emissions vehicles.",Taxation,2021
Central and South America,Rest of the World,Chile,National,,Ambition,"Roadmap for promoting electromobility including near-term actions on charging, public transport, awareness and regulation.",Multiple,2023
Central and South America,Rest of the World,Chile,National,,Proposal,"National public charging infrastructure plan targeting charging stations along interurban routes at
most every 100km apart.",EVSE,2023
Central and South America,Rest of the World,Chile,National,,Legislation,"Energy efficiency law which promotes the importation of BEVs and PHEVs. Entered into force in 2024, requiring fleet average efficiency of 5.3Lge/100km for the period 2024-26.",Multiple,2021
Central and South America,Rest of the World,Chile,National,,Target,100% of sales of M/HDVs will be zero-emissions by 2045.,M/HDV,2021
Central and South America,Rest of the World,Chile,National,,Target,100% of sales of public transport vehicles will be zero-emissions by 2035.,Bus,2021
Central and South America,Rest of the World,Chile,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Asia Pacific,China,China,Subnational,Zhejiang,Target,Annual production of 600 000 NEVs by 2025.,Manufacturing,2021
Asia Pacific,China,China,Subnational,Tianjin,Target,"80% of public transport, taxis, logistics and delivery vehicle sales to be NEVs by 2025.",Multiple,2022
Asia Pacific,China,China,Subnational,Tianjin,Target,"NEV sales to account for around 25% of total new car sales by 2025 and around 50% of total new
car sales by 2030 (Plan for Carbon Peaking).",LDV,2022
Asia Pacific,China,China,Subnational,Sichuan,Target,Proportion of new energy- and clean energy-powered transport (not including motorcycles) to reach around 40% by 2030 (Plan for Carbon Peaking).,LDV,2022
Asia Pacific,China,China,Subnational,Shenzhen,Target,"Construct a total of about 43 000 fast charging piles in the public and private networks and about
790 000 slow charging piles in the basic network by 2025.",EVSE,2022
Asia Pacific,China,China,Subnational,Shenzhen,Target,Proportion of NEVs among newly registered vehicles (excluding replacement and renewal) in Shenzhen to reach 60% by 2025. The number of NEVs will reach about 1 million.,Multiple,2022
Asia Pacific,China,China,Subnational,Shanxi,Target,"Proportion of new energy- and clean energy-powered transport to reach around 40% by 2030
(Plan for Carbon Peaking).",LDV,2023
Asia Pacific,China,China,Subnational,Shanghai,Target,Construct 10 000 public EV charging piles in 2024.,EVSE,2024
Asia Pacific,China,China,Subnational,Shanghai,Target,"Aims for carbon from urban transportation to peak by 2030 (Plan for Carbon Peaking in the
Transport Sector).",Bus,2023
Asia Pacific,China,China,Subnational,Shanghai,Target,"Implementation Plan for Energy Saving and Emissions Reduction Integrated Tasks for the 14th Five Year Plan Period in Shanghai: BEVs to make up more than 50% of new personal vehicle purchases
by 2025.",LDV,2022
Asia Pacific,China,China,Subnational,Shanghai,Target,BEVs to make up more than 50% of new personal vehicle purchases by 2025 and more than 40% of car stock by 2035 (Plan for Carbon Peaking).,LDV,2022
Asia Pacific,China,China,Subnational,Shanghai,Legislation,"Subsidies for charging point and battery swapping installations with varying rates for community
or commercial projects, as well as subsidised charging for taxis.",EVSE,2022
Asia Pacific,China,China,Subnational,Shandong,Ambition,Aims for road transport oil consumption to peak before 2030 (Plan for Carbon Peaking).,Multiple,2022
Asia Pacific,China,China,Subnational,Ningxia,Target,"NEV sales to account for around 20% of total new car sales by 2025, new energy and clean energy-
powered vehicle sales to reach around 40% by 2030 (Plan for Carbon Peaking).",LDV,2022
Asia Pacific,China,China,Subnational,Liaoning,Target,Proportion of new energy- and clean energy-powered transport vehicles to reach around 40% by 2030 (Plan for Carbon Peaking).,LDV,2022
Asia Pacific,China,China,Subnational,Jilin,Ambition,"Increase the proportion of clean transportation, encourage companies to replace freight vehicless with NEVs and to promote the elimination of old diesel vehicles, build charging infrastructure in
highway service areas, logistical hubs and hubs for freight vehicles.",Multiple,2024
Asia Pacific,China,China,Subnational,Jilin,Target,"Production capacity of NEVs to reach around 1 million by 2025, accounting for 20% of all cars.",Manufacturing,2022
Asia Pacific,China,China,Subnational,Jilin,Target,Proportion of new energy and clean energy-powered transport vehicles to reach around 40% by 2030 (Plan for Carbon Peaking).,LDV,2022
Asia Pacific,China,China,Subnational,Jiangsu,Target,NEV sales to account for more than 20% of total new car sales by 2025 (Plan for Carbon Peaking).,LDV,2022
Asia Pacific,China,China,Subnational,Inner-Mongolia,Target,"Inner Mongolia Autonomous Region aims for the proportion of new energy and clean energy- powered transport vehicles (excluding motorbikes) to reach around 40% by 2030 (Plan for Carbon
Peaking).",LDV,2022
Asia Pacific,China,China,Subnational,Hunan,Target,Proportion of transport not powered by fossil energy to reach around 40% by 2030 (Plan for Carbon Peaking).,Multiple,2022
Asia Pacific,China,China,Subnational,Hunan,Target,"By 2025, construct over 400 000 charging piles, aiming to reach a car-charging pile ratio of 2:1.",EVSE,2023
Asia Pacific,China,China,Subnational,Hunan,Legislation,"Subsidies provided per kW of charging installed, with greater amounts for those installed along highways; varies between regions of the province.",EVSE,2022
Asia Pacific,China,China,Subnational,Henan,Legislation,"As a part of Henan Province's support to its economic development of the first quarter of the year, in addition to the national tax exemption to NEVs, Henan Provincial Government and municipal government jointly provide subsidies to NEV purchases at 5% of the retail price.",LDV,2024
Asia Pacific,China,China,Subnational,Hainan,Target,"End sales of petrol or diesel vehicles by 2030; 100% NEVs in vehicle sales (Plan for Carbon
Peaking).",LDV,2022
Asia Pacific,China,China,Subnational,Hainan,Ambition,"End the sale of petrol and diesel vehicles by 2030. From 2030, all vehicle sales will be either NEVs
or natural gas vehicles.",LDV,2019
Asia Pacific,China,China,Subnational,Guizhou,Target,Proportion of new energy and clean energy-powered operating vehicles and ships to reach around 40% by 2030 (Plan for Carbon Peaking).,Multiple,2022
Asia Pacific,China,China,Subnational,Guangzhou,Target,"800 000 NEV stock for passenger LDVs by 2025, accounting for 20% of all car stocks by 2025. NEVs
account for 50% of car sales.",LDV,2021
Asia Pacific,China,China,Subnational,Guangxi,Target,Proportion of new energy and clean energy-powered transport vehicles to reach around 40% by 2030 (Plan for Carbon Peaking).,LDV,2023
Asia Pacific,China,China,Subnational,Guangdong,Target,"By 2025, NEV production to reach more than 3 million, public NEV charging piles to reach more
than 210 000 (A strategic action plan for the auto industry in Guangdong Province).",EVSE,2024
Asia Pacific,China,China,Subnational,Guangdong,Target,"Proportion of new energy and clean energy-powered transport vehicles to reach around 40% by
2030 (Plan for Carbon Peaking).",LDV,2023
Asia Pacific,China,China,Subnational,Guangdong,Legislation,Grants provided per kW of charging installed with greater amounts for DC than for AC; varies between regions of the province.,EVSE,2022
Asia Pacific,China,China,Subnational,Guangdong,Target,"From 2021, 100% of new buses should be NEVs.",Bus,2021
Asia Pacific,China,China,Subnational,Guangdong,Target,"From 2021, 80% of taxis and delivery vehicles should be NEVs.",LDV,2021
Asia Pacific,China,China,Subnational,Chongqing,Ambition,Sell and produce more than 10% of the country's intelligent NEVs by 2025.,Manufacturing,2022
Asia Pacific,China,China,Subnational,Chongqing,Target,Build more than 240 000 EV chargers by 2025.,EVSE,2022
Asia Pacific,China,China,Subnational,Beijing,Target,"2 million NEVs on the road by 2025. Proportion of new vehicle sales being new energy and clean
energy-powered transport to reach around 40% by 2030 (Plan for Carbon Peaking).",LDV,2022
Asia Pacific,China,China,Subnational,Anhui,Ambition,"Aims for road transport oil consumption to peak before 2030 (Plan for Carbon Peaking for the
Industry Sector).",Multiple,2022
Asia Pacific,China,China,National,,Ambition,A set of policies to support international trade of NEVs.,Manufacturing,2024
Asia Pacific,China,China,National,,Target,"Pilot project to electrify public sector vehicles - 80% of new buses, taxis, sanitation vehicles, postal and urban logistics vehicles to be NEVs by 2025 with a number of charging piles equal to the
amount of new NEVs installed.",Multiple,2023
Asia Pacific,China,China,National,,Target,"By 2025, no less than 80% NEVs in new buses, taxes, municipal logistical vehicles, and municipal LCVs in key air pollution control regions; by 2025, no less than 80% coverage of fast chargers in highway service stations in key air pollution control regions, and no less than 60% in other regions. Encourage local government to provide support to charging infrastructure for NEV buses. Promote zero emission freight in the industry sector and logistical hubs.",Multiple,2023
Asia Pacific,China,China,National,,Ambition,"Establish a high-quality charging infrastructure system by 2030, ensuring city-level full coverage, highway-level linear coverage, and spotted-coverage of rural areas.",EVSE,2023
Asia Pacific,China,China,National,,Target,"By 2025, establish a preliminary interactive network between vehicles and the grids and fully implement peak and valley (peak/off-peak) pricing mechanism for EV charging. In the 5 pilot cities, by 2025, aim to have 60% of annual EV charging electricity concentrated during valley price time, and 80% of private EV charging pile utilisation concentrated during valley price time. By 2030, fully establish the interactive network between vehicles and the grids, aiming to provide
flexibility for the electricity system at 10 GW level.",EVSE,2023
Asia Pacific,China,China,National,,Ambition,NEV sales in key air pollution control regions to account for about 50% of new vehicle sales by 2030 (Synergetic Reduction of Pollution and Carbon Emission).,LDV,2022
Asia Pacific,China,China,National,,Ambition,"Proportion of new energy and clean energy-powered transport to reach around 40% by 2030, and CO2 emissions intensity of new passenger cars and commercial vehicles to fall by more than 25% and 20% respectively compared to 2020 (Plan for Carbon Peaking in the Industry Sector).",Multiple,2022
Asia Pacific,China,China,National,,Target,NEV sales to account for 45% of new vehicle sales by 2027.,Multiple,2023
Asia Pacific,China,China,National,,Ambition,"NEV sales to account for 45% of new vehicle sales by 2025, and 60% by 2030.",Multiple,2023
Asia Pacific,China,China,National,,Legislation,NEVs are exempted from China's vehicle and vessel tax.,Taxation,2018
Asia Pacific,China,China,National,,Legislation,"NEV exemption from vehicle purchase tax extended to the end of 2025, and a reduction of NEV vehicle purchase tax by 50% between 2026 - 2027.",Taxation,2023
Asia Pacific,China,China,National,,Ambition,"Installation of charging infrastructure for more than 20 million EVs by 2025, includes subsidised
public stations, and encourages regional governments to establish standards and subsidies that promote quality of service.",EVSE,2022
Asia Pacific,China,China,National,,Legislation,"Updated Lithium-ion Battery Industry Regulatory Conditions and the Lithium-ion Battery Industry Regulatory Management Measures set out specific standards on battery, cathode material, anode
material, separator and electrolyte.",Manufacturing,2021
Asia Pacific,China,China,National,,Target,"72% share of NEVs in national urban public transport stock and 20% in logistics distribution stock
by 2025.",Bus,2021
Asia Pacific,China,China,National,,Ambition,"11 pilot cities to demonstrate battery swapping technology, ultimately aiming to promote more than 100 000 battery swapping-enabled EVs, and more than 1 000 battery swapping stations in the demonstration period.",EVSE,2021
Asia Pacific,China,China,National,,Ambition,China's Action Plan for Reaching Carbon Dioxide Peak Before 2030: Proportion of new energy and clean energy-powered vehicle sales (for transport) to reach around 40% by 2030.,Multiple,2021
Asia Pacific,China,China,National,,Target,Achieve an average electricity consumption of new passenger BEVs ? 12.0 kWh/ 100 km by 2025.,Manufacturing,2020
Asia Pacific,China,China,National,,Ambition,NEV sales account for around 20% of total new vehicle sales by 2025.,LDV,2020
Asia Pacific,China,China,National,,Proposal,"Total FCEV fleet reaches around 100 000 by 2025, and around 1 million during the 2030 - 2035 period (Energy-saving and New Energy Vehicle Technology Roadmap 2.0, prepared by China
Society of Automotive Engineers, not official government policy).",M/HDV,2020
Asia Pacific,China,China,National,,Target,"By 2025, in major ports in areas including Beijing-Tianjin-Heibei region, Yangtze River basin and the Greater Bay, reach 80% of connected waterway, railway, conveyor belt and NEVs in the
transport of bulk cargos.",M/HDV,2023
Asia Pacific,China,China,National,,Legislation,"Updated Parallel Management Regulation for Corporate Average Fuel Consumption and NEV Credits: the required NEV proportion for 2024 and 2025 is set at 28% and 38%, respectively.",LDV,2023
Asia Pacific,China,China,National,,Target,"Proportion of NEVs in new or updated government vehicles for public transport, rental, logistics and distribution in national pilot ecological civilisation zones and key regions for air pollution
prevention and control should be no less than 80% from 2021 onwards.",Multiple,2020
Asia Pacific,China,China,National,,Legislation,Strengthened regulation for NEV manufacturer.,Manufacturing,2020
Asia Pacific,China,China,National,,Ambition,"Aiming to increase competitiveness in the global auto industry by 2025, focussing on NEVs and intelligent vehicle technologies. (China's mid-to-long-term automotive industry development
plan).",Manufacturing,2017
Asia Pacific,China,China,National,,Legislation,"Fuel economy standard tightened: By 2025, passenger LDVs to reach 4.0L/100km as measured by
the worldwide harmonized light vehicle test procedure (WLTP).",LDV,2019
Asia Pacific,Rest of the World,Chinese Taipei,,,Ambition,"EVs to make up 35% of scoooter sales by 2030, 70% by 2035, and 100% by 2040.",2/3W,2022
Asia Pacific,Rest of the World,Chinese Taipei,,,Ambition,All new passenger cars and 2/3W to be zero-emission by 2040,LDV,2022
Asia Pacific,Rest of the World,Chinese Taipei,,,Ambition,35% of the urban bus fleet to be electric by 2025; 100% by 2030.,Bus,2022
Asia Pacific,Rest of the World,Chinese Taipei,,,Ambition,"EVs to make up 30% of private passenger car sales by 2030, 60% by 2035, and 100% by 2040.",LDV,2022
Central and South America,Rest of the World,Colombia,Multi-national,,Ambition,30% ZEV sales in M/HDVs by 2030; 100% by 2040.,M/HDV,2023
Central and South America,Rest of the World,Colombia,National,,Legislation,"Law 1972 of 2019: 100% Compliance with Euro-VI equivalent standards for all HDVs in circulation
by 2035.",M/HDV,2019
Central and South America,Rest of the World,Colombia,National,,Legislation,"General sales tax (VAT) for electric vehicles, hybrids, and charging infrastructure to 5%. VAT for
ICE vehicles is 19%.",Taxation,2016
